At frame 0, person 1 is located at coordinates [-21.95, 662.12] with a bounding box of width 112.44 and height 309.52.
 At frame 139, person 16 is located at coordinates [531.03, 716.14] with a bounding box of width 43.35 and height 106.54.
 At frame 139, person 19 is located at coordinates [-23.91, 651.48] with a bounding box of width 51.65 and height 126.31.
 

=====================================================

At frame 139, person 23 is located at coordinates [1127.96, 674.28] with a bounding box of width 117.45 and height 338.73.
 At frame 139, person 7 is located at coordinates [543.49, 722.24] with a bounding box of width 38.17 and height 98.68.
 At frame 140, person 16 is located at coordinates [529.54, 715.56] with a bounding box of width 43.94 and height 107.20.
 At frame 140, person 19 is located at coordinates [-23.90, 651.56] with a bounding box of width 50.97 and height 125.26.
 At frame 140, person 23 is located at coordinates [1129.05, 673.24] with a bounding box of width 117.58 and height 340.86.
 At frame 140, person 7 is located at coordinates [545.51, 725.34] with a bounding box of width 37.00 and height 95.36.
 At frame 141, person 16 is located at coordinates [529.16, 716.19] with a bounding box of width 43.83 and height 106.28.
 At frame 141, person 19 is located at coordinates [-24.94, 650.74] with a bounding box of width 51.07 and height 126.00.
 At frame 141, person 23 is located at coordinates [1130.78, 672.53] with a bounding box of width 117.20 and height 341.31.
 At frame 141, person 7 is located at coordinates [543.10, 723.29] with a bounding box of width 38.30 and height 98.17.
 At frame 142, person 16 is located at coordinates [528.76, 716.42] with a bounding box of width 44.35 and height 107.09.
 At frame 142, person 19 is located at coordinates [-25.41, 650.16] with a bounding box of width 51.03 and height 126.27.
 At frame 142, person 23 is located at coordinates [1132.02, 671.07] with a bounding box of width 116.93 and height 341.41.
 At frame 142, person 7 is located at coordinates [544.23, 726.60] with a bounding box of width 37.12 and height 95.14.
 At frame 143, person 16 is located at coordinates [527.49, 716.48] with a bounding box of width 44.46 and height 107.40.
 At frame 143, person 19 is located at coordinates [-26.47, 650.54] with a bounding box of width 51.01 and height 126.34.
 At frame 143, person 23 is located at coordinates [1132.89, 670.79] with a bounding box of width 117.06 and height 342.85.
 At frame 143, person 7 is located at coordinates [540.73, 723.14] with a bounding box of width 39.30 and height 99.84.
 At frame 144, person 16 is located at coordinates [527.14, 716.79] with a bounding box of width 44.88 and height 108.09.
 At frame 144, person 19 is located at coordinates [-26.91, 652.17] with a bounding box of width 50.01 and height 124.02.
 At frame 144, person 23 is located at coordinates [1134.14, 672.14] with a bounding box of width 116.31 and height 341.88.
 At frame 145, person 16 is located at coordinates [526.36, 717.47] with a bounding box of width 45.18 and height 108.35.
 At frame 145, person 19 is located at coordinates [-27.91, 654.28] with a bounding box of width 48.95 and height 121.34.
 At frame 145, person 23 is located at coordinates [1135.84, 674.41] with a bounding box of width 115.79 and height 340.87.
 At frame 146, person 16 is located at coordinates [525.45, 718.30] with a bounding box of width 45.40 and height 108.43.
 At frame 146, person 19 is located at coordinates [-28.26, 656.56] with a bounding box of width 48.12 and height 119.15.
 At frame 146, person 23 is located at coordinates [1136.94, 676.13] with a bounding box of width 115.73 and height 340.74.
 At frame 146, person 7 is located at coordinates [535.42, 723.85] with a bounding box of width 40.92 and height 102.62.
 At frame 147, person 16 is located at coordinates [525.18, 718.89] with a bounding box of width 45.36 and height 107.87.
 At frame 147, person 19 is located at coordinates [-28.78, 657.41] with a bounding box of width 47.81 and height 118.34.
 At frame 147, person 23 is located at coordinates [1137.89, 677.35] with a bounding box of width 115.70 and height 341.24.
 At frame 147, person 7 is located at coordinates [540.83, 732.36] with a bounding box of width 36.74 and height 92.16.
 At frame 148, person 16 is located at coordinates [525.56, 720.27] with a bounding box of width 45.03 and height 106.48.
 At frame 148, person 19 is located at coordinates [-28.96, 660.67] with a bounding box of width 46.12 and height 113.32.
 At frame 148, person 23 is located at coordinates [1138.09, 678.38] with a bounding box of width 115.90 and height 342.56.
 At frame 149, person 16 is located at coordinates [524.96, 720.78] with a bounding box of width 45.84 and height 107.71.
 At frame 149, person 19 is located at coordinates [-28.34, 663.98] with a bounding box of width 44.81 and height 109.65.
 At frame 149, person 23 is located at coordinates [1139.52, 679.91] with a bounding box of width 115.50 and height 341.87.
 At frame 150, person 16 is located at coordinates [523.91, 719.19] with a bounding box of width 46.64 and height 109.34.
 At frame 150, person 19 is located at coordinates [-27.62, 666.06] with a bounding box of width 43.83 and height 107.15.
 At frame 150, person 23 is located at coordinates [1140.69, 680.17] with a bounding box of width 115.17 and height 341.27.
 At frame 151, person 16 is located at coordinates [523.51, 719.15] with a bounding box of width 46.99 and height 109.96.
 At frame 151, person 19 is located at coordinates [-26.80, 667.37] with a bounding box of width 43.41 and height 106.30.
 At frame 151, person 23 is located at coordinates [1141.41, 679.94] with a bounding box of width 115.56 and height 343.08.
 At frame 152, person 16 is located at coordinates [522.30, 718.84] with a bounding box of width 47.51 and height 111.35.
 At frame 152, person 19 is located at coordinates [-28.13, 666.31] with a bounding box of width 44.26 and height 108.43.
 At frame 152, person 23 is located at coordinates [1141.65, 679.54] with a bounding box of width 116.85 and height 347.54.
 At frame 153, person 16 is located at coordinates [521.14, 718.41] with a bounding box of width 47.97 and height 112.44.
 At frame 153, person 19 is located at coordinates [-30.52, 664.42] with a bounding box of width 45.85 and height 112.20.
 At frame 153, person 23 is located at coordinates [1142.68, 678.20] with a bounding box of width 117.71 and height 350.95.
 

=====================================================

At frame 153, person 22 is located at coordinates [333.64, 702.58] with a bounding box of width 27.06 and height 62.23.
 At frame 153, person 7 is located at coordinates [541.60, 735.51] with a bounding box of width 37.02 and height 93.13.
 At frame 154, person 16 is located at coordinates [522.23, 718.54] with a bounding box of width 48.04 and height 111.68.
 At frame 154, person 19 is located at coordinates [-33.86, 656.68] with a bounding box of width 49.76 and height 121.80.
 At frame 154, person 23 is located at coordinates [1143.56, 678.54] with a bounding box of width 118.13 and height 353.08.
 At frame 154, person 22 is located at coordinates [334.84, 702.37] with a bounding box of width 26.21 and height 60.85.
 At frame 154, person 7 is located at coordinates [541.16, 735.92] with a bounding box of width 36.98 and height 93.27.
 At frame 155, person 16 is located at coordinates [522.52, 718.58] with a bounding box of width 48.35 and height 111.37.
 At frame 155, person 23 is located at coordinates [1144.52, 679.24] with a bounding box of width 118.12 and height 353.84.
 At frame 155, person 22 is located at coordinates [336.00, 702.61] with a bounding box of width 26.19 and height 61.02.
 At frame 155, person 7 is located at coordinates [540.24, 734.29] with a bounding box of width 37.91 and height 95.67.
 At frame 156, person 16 is located at coordinates [522.24, 718.88] with a bounding box of width 48.70 and height 111.24.
 At frame 156, person 23 is located at coordinates [1145.80, 680.96] with a bounding box of width 117.37 and height 352.62.
 At frame 156, person 22 is located at coordinates [338.05, 703.28] with a bounding box of width 25.54 and height 59.31.
 At frame 156, person 7 is located at coordinates [535.65, 728.74] with a bounding box of width 40.98 and height 101.78.
 At frame 157, person 16 is located at coordinates [520.64, 716.94] with a bounding box of width 50.65 and height 115.28.
 At frame 157, person 23 is located at coordinates [1146.88, 681.89] with a bounding box of width 116.97 and height 351.81.
 At frame 157, person 22 is located at coordinates [339.43, 702.31] with a bounding box of width 26.40 and height 61.09.
 At frame 157, person 7 is located at coordinates [537.62, 730.90] with a bounding box of width 40.43 and height 100.09.
 At frame 158, person 16 is located at coordinates [517.97, 716.50] with a bounding box of width 50.92 and height 116.21.
 At frame 158, person 23 is located at coordinates [1147.37, 682.22] with a bounding box of width 116.57 and height 351.46.
 At frame 158, person 22 is located at coordinates [339.77, 701.66] with a bounding box of width 26.40 and height 61.15.
 At frame 158, person 7 is located at coordinates [537.84, 730.92] with a bounding box of width 40.25 and height 99.94.
 At frame 159, person 16 is located at coordinates [517.43, 716.91] with a bounding box of width 50.65 and height 115.96.
 At frame 159, person 23 is located at coordinates [1148.43, 682.32] with a bounding box of width 115.76 and height 349.54.
 At frame 159, person 22 is located at coordinates [339.29, 701.10] with a bounding box of width 27.22 and height 62.96.
 At frame 159, person 7 is located at coordinates [538.21, 731.51] with a bounding box of width 39.62 and height 98.69.
 At frame 160, person 16 is located at coordinates [517.44, 717.37] with a bounding box of width 50.14 and height 115.25.
 At frame 160, person 23 is located at coordinates [1150.10, 682.34] with a bounding box of width 115.19 and height 348.19.
 At frame 160, person 22 is located at coordinates [339.38, 701.47] with a bounding box of width 26.93 and height 61.89.
 At frame 160, person 7 is located at coordinates [538.85, 732.91] with a bounding box of width 39.01 and height 97.02.
 At frame 161, person 16 is located at coordinates [516.64, 717.83] with a bounding box of width 49.83 and height 114.96.
 At frame 161, person 23 is located at coordinates [1150.60, 682.04] with a bounding box of width 115.15 and height 348.55.
 At frame 161, person 22 is located at coordinates [339.95, 701.02] with a bounding box of width 27.73 and height 63.24.
